algorithm,time,path_length,nodes,obstacles_percent,memory_mb
a_star,0.4023876190185547,25,400,0.05,0.04624176025390625
a_star,0.6113975048065186,38,480,0.05,0.03338623046875
a_star,0.3219938278198242,20,792,0.25,0.01572418212890625
bfs,0.8421072959899902,52,2401,0.05,0.26369476318359375
bfs,0.48056936264038086,30,336,0.05,0.02208709716796875
bfs,0.4486563205718994,28,1248,0.25,0.08946990966796875
dfs,1.2603018283843994,78,196,0.25,0.02973175048828125
dfs,10.243179321289062,636,1050,0.1,1.5451011657714844
bell_ford,2.014284610748291,40,1160,0.1,0.7311325073242188
bell_ford,0.9147024154663086,20,748,0.05,0.3596343994140625
a_star,0.40180444717407227,25,468,0.1,0.0177764892578125
a_star,0.8045897483825684,50,972,0.1,0.0701751708984375
a_star,0.5970277786254883,37,1681,0.05,0.023983001708984375
bfs,0.49942445755004883,31,560,0.1,0.06156158447265625
bfs,0.24167656898498535,15,414,0.25,0.02269744873046875
bfs,0.3064448833465576,19,624,0.25,0.02269744873046875
dfs,1.9947938919067383,124,195,0.05,0.0727996826171875
dfs,4.905479907989502,304,630,0.05,0.39713287353515625
bell_ford,0.23090505599975586,13,195,0.05,0.122894287109375
bell_ford,1.8452134132385254,46,1080,0.1,0.5700225830078125
a_star,0.48330020904541016,30,400,0.05,0.050716400146484375
a_star,0.35228443145751953,22,1196,0.1,0.02135467529296875
a_star,0.4985511302947998,31,312,0.25,0.0234832763671875
bfs,0.2086782455444336,13,552,0.1,0.01734161376953125
bfs,0.19495677947998047,12,594,0.05,0.01683807373046875
bfs,0.5158243179321289,32,640,0.1,0.06017303466796875
dfs,10.667604684829712,662,792,0.05,1.7483406066894531
dfs,7.401952028274536,459,738,0.1,0.7500991821289062
bell_ford,0.5966570377349854,28,400,0.1,0.1781463623046875
bell_ford,0.6741831302642822,33,410,0.1,0.1104278564453125
a_star,0.3869924545288086,24,400,0.05,0.0461883544921875
a_star,0.25776004791259766,16,280,0.1,0.009765625
a_star,0.3842446804046631,24,510,0.25,0.01556396484375
bfs,0.5008969306945801,31,390,0.25,0.02941131591796875
bfs,0.48580265045166016,30,480,0.05,0.06017303466796875
bfs,0.3680105209350586,23,168,0.05,0.01537322998046875
dfs,3.6105363368988037,224,525,0.25,0.19530487060546875
dfs,12.541354417800903,779,1320,0.05,2.3646163940429688
bell_ford,1.388289213180542,30,966,0.05,0.6512603759765625
bell_ford,0.9013621807098389,37,602,0.1,0.19495391845703125
a_star,0.4330272674560547,27,400,0.05,0.04730987548828125
a_star,0.5931053161621094,37,352,0.25,0.0235443115234375
a_star,0.706005334854126,44,1248,0.05,0.0644073486328125
bfs,0.6587097644805908,41,451,0.25,0.036609649658203125
bfs,0.2718985080718994,17,416,0.25,0.02941131591796875
bfs,0.3833911418914795,24,720,0.1,0.06017303466796875
dfs,11.7403244972229,729,1080,0.1,2.057647705078125
dfs,1.2548315525054932,78,168,0.1,0.033050537109375
bell_ford,2.2082648277282715,52,1476,0.25,0.765960693359375
bell_ford,6.777200698852539,45,2352,0.05,1.5706634521484375
a_star,0.4837045669555664,30,400,0.05,0.04813385009765625
a_star,0.479170560836792,30,462,0.25,0.0236053466796875
a_star,0.2919654846191406,18,357,0.1,0.0177459716796875
bfs,0.8497476577758789,53,1428,0.25,0.1703338623046875
bfs,0.8168933391571045,51,1900,0.1,0.199798583984375
bfs,1.0236127376556396,64,1364,0.4,0.08954811096191406
dfs,5.583815097808838,347,648,0.1,0.44454193115234375
dfs,18.907008171081543,1174,1900,0.1,5.190315246582031
bell_ford,0.9519522190093994,36,663,0.1,0.36943817138671875
bell_ford,1.9938924312591553,51,1386,0.25,0.6057357788085938
a_star,0.4979441165924072,31,400,0.05,0.04824066162109375
a_star,0.6255238056182861,39,946,0.1,0.0700836181640625
a_star,0.40103960037231445,25,444,0.1,0.0178375244140625
bfs,0.48068737983703613,30,1023,0.05,0.07522964477539062
bfs,0.7402644157409668,46,738,0.05,0.06017303466796875
bfs,0.6406574249267578,40,1296,0.05,0.08654022216796875
dfs,0.8668861389160156,54,100,0.05,0.015254974365234375
dfs,4.436410903930664,276,912,0.25,0.2867431640625
bell_ford,1.609790325164795,37,1023,0.05,0.5549850463867188
bell_ford,0.7025704383850098,21,792,0.25,0.24810028076171875
a_star,0.47179722785949707,29,400,0.05,0.04863739013671875
a_star,0.47185540199279785,29,1656,0.1,0.0236663818359375
a_star,0.7247591018676758,45,1215,0.05,0.0642242431640625
bfs,0.40236568450927734,25,320,0.1,0.02405548095703125
bfs,0.4195895195007324,26,555,0.05,0.050384521484375
bfs,0.6101410388946533,38,720,0.05,0.06017303466796875
dfs,17.302623748779297,1073,1584,0.1,4.331878662109375
dfs,27.700018882751465,1720,2112,0.05,11.359508514404297
bell_ford,4.012831687927246,54,2021,0.25,1.0325775146484375
bell_ford,2.0001754760742188,42,1330,0.25,0.5086517333984375
a_star,0.46433544158935547,29,400,0.05,0.04850006103515625
a_star,0.6924707889556885,43,1408,0.25,0.062774658203125
a_star,0.4192945957183838,26,496,0.1,0.033466339111328125
